,rain,elevation,river
1992/10/02,17.8,4.915,11.09
1992/10/03,2.1,4.5539999999999985,13.34
1992/10/04,0.1,4.2330000000000005,6.556
1992/10/05,0.8,4.267,4.965
1992/10/06,0.9,4.277,4.394
1992/10/07,1.2,4.466,4.0889999999999995
1992/10/08,0.2,4.6789999999999985,4.031000000000001
1992/10/09,0.1,5.443,3.886
1992/10/10,4.8,5.067,3.68
1992/10/11,0.6,5.346,4.111000000000001
1992/10/12,0.2,5.301,4.152
1992/10/13,0.1,5.329,4.008
1992/10/14,5.0,5.4510000000000005,4.168
1992/10/15,15.0,5.471,10.18
1992/10/16,6.6,5.226,13.19
1992/10/17,0.0,5.0939999999999985,9.708
1992/10/18,0.0,4.787,5.984
1992/10/19,0.0,4.523,5.034
1992/10/20,1.6,4.525,4.765
1992/10/21,0.1,4.621,5.06
1992/10/22,0.2,4.84,4.5680000000000005
1992/10/23,1.0,5.278,4.452
1992/10/24,2.8,5.4510000000000005,4.382
1992/10/25,14.8,5.69,12.82
1992/10/26,4.1,5.746,9.89
1992/10/27,16.1,5.624,31.03
1992/10/28,3.0,5.579,12.4
1992/10/29,3.2,5.573,10.28
1992/10/30,0.1,5.145,8.059
1992/10/31,0.4,4.828,6.244
1992/11/01,8.1,4.864,6.226
1992/11/02,0.8,4.93,10.75
1992/11/03,0.0,4.363,6.415
1992/11/04,0.9,4.35,5.371
1992/11/05,0.0,4.395,4.926
1992/11/06,1.4,4.673,4.688
1992/11/07,0.0,5.021,4.593
1992/11/08,1.6,4.867,4.562
1992/11/09,10.2,5.0310000000000015,9.224
1992/11/10,2.0,5.456,9.375
1992/11/11,0.2,5.562,6.734
1992/11/12,0.1,5.563,5.54
1992/11/13,0.0,5.61,4.802
1992/11/14,8.2,5.278,4.904
1992/11/15,4.0,5.257999999999999,9.853
1992/11/16,4.1,5.079,10.95
1992/11/17,0.4,4.9289999999999985,8.085
1992/11/18,0.3,4.731,6.064
1992/11/19,0.4,5.181,5.417000000000001
1992/11/20,0.1,5.155,5.03
1992/11/21,6.8,5.283,6.281000000000001
1992/11/22,6.0,5.315,9.833
1992/11/23,0.3,5.309,8.211
1992/11/24,8.2,5.721,7.247999999999999
1992/11/25,1.2,5.794,11.3
1992/11/26,1.2,5.787000000000001,7.093999999999999
1992/11/27,2.3,5.1080000000000005,6.086
1992/11/28,0.0,5.3820000000000014,5.81
1992/11/29,8.3,4.799,5.598
1992/11/30,19.0,5.166,38.65
1992/12/01,13.0,4.673,25.84
1992/12/02,12.7,4.922,59.96
1992/12/03,0.7,4.732,18.25
1992/12/04,0.4,4.684,10.03
1992/12/05,0.1,4.706,7.813
1992/12/06,20.2,4.755,18.27
1992/12/07,3.7,4.974,32.16
1992/12/08,0.4,5.129,12.99
1992/12/09,0.4,5.114,8.816
1992/12/10,1.0,5.1389999999999985,7.395
1992/12/11,6.4,5.667999999999998,10.54
1992/12/12,0.0,5.647,9.288
1992/12/13,0.0,5.312,7.12
1992/12/14,0.0,5.433,6.224
1992/12/15,0.2,5.295,5.796
1992/12/16,0.6,5.151,5.492999999999999
1992/12/17,7.1,4.691,5.1
1992/12/18,17.5,5.277,37.34
1992/12/19,0.0,5.029,11.93
1992/12/20,0.0,4.702,6.566
1992/12/21,0.0,4.841,5.059
1992/12/22,0.0,4.999,4.385
1992/12/23,0.0,4.995,4.05
1992/12/24,0.0,5.22,3.614
1992/12/25,0.0,5.374,3.284
1992/12/26,0.1,5.155,3.272
1992/12/27,0.0,5.066,3.458
1992/12/28,0.0,4.953,3.2460000000000004
1992/12/29,0.0,4.843,2.935
1992/12/30,0.0,4.785,2.637
1992/12/31,0.0,4.619,2.5
1993/01/01,0.0,4.359,2.379
1993/01/02,0.0,4.294,2.261
1993/01/03,4.1,3.942,5.893
1993/01/04,1.6,4.632,2.725
1993/01/05,0.1,4.896,5.511
1993/01/06,1.2,5.479,4.774
1993/01/07,0.8,5.008,3.9410000000000003
1993/01/08,0.7,5.8420000000000005,3.7119999999999997
1993/01/09,2.8,5.716,3.897
1993/01/10,7.6,5.901,6.92
1993/01/11,3.3,6.232,7.922999999999999
1993/01/12,2.0,5.856,5.739
1993/01/13,3.7,5.966,10.2
1993/01/14,4.8,5.5379999999999985,6.882000000000001
1993/01/15,5.1,5.269,10.01
1993/01/16,0.8,5.325,8.804
1993/01/17,0.0,5.349,5.735
1993/01/18,2.2,5.325,4.607
1993/01/19,0.6,4.971,5.187
1993/01/20,0.1,5.263,4.324
1993/01/21,1.1,5.3870000000000005,3.682
1993/01/22,1.5,5.8889999999999985,3.378
1993/01/23,4.8,5.309,4.593
1993/01/24,2.2,5.7360000000000015,5.875
1993/01/25,0.0,5.8820000000000014,3.906
1993/01/26,0.2,5.454,3.302
1993/01/27,2.2,5.283,3.242
1993/01/28,6.0,5.041,5.666
1993/01/29,0.0,4.575,5.922999999999999
1993/01/30,1.4,4.68,4.156000000000001
